   0   19 2564  674 2475 1223 1022  619  158  105   12    3    2    1    1 
 229  129  442   42  102   64   67   18   33    1    4    1    0    0    0 
 294  114  469   56  140   66   80   38   23    4    1    1    0    0    0 
 291  110  435   61  131   51   66   35   36    3    1    1    0    0    0 
 289  122  450   40  113   49   87   29   21    2    1    1    0    0    0 
 390  203  617   88  200  107  165   45   49    5    2    1    0    0    0 
 343  122  428   47  136   65   96   36   36    5    3    1    0    0    0 
 344  151  396   69  135   62   91   27   27    2    1    1    0    0    0 
 325  116  446   54  138   62  102   22   34    4    1    1    0    0    0 
 258  118  374   33  120   59   71   12   25    5    2    1    0    0    0 
 484   45   58   12   49   16   35    2    1    0    0    0    0    0    0 
 261   16   21    6   19    4   10    2    2    0    0    0    0    0    0 
 322   20   25    7   27   13   20    2    1    0    0    0    0    0    0 
 207   17   23    7   14    2   12    4    4    0    0    0    0    0    0 
 230   19   24    6   16    7   16    2    1    0    0    0    0    0    0 
 313   15   36   13   27    6   23    2    1    0    0    0    0    0    0 
 172    8   29    5   21   11    7    2    1    0    0    0    0    0    0 
 210   20   38    1   14    7    8    2    4    0    0    0    0    0    0 
 169    7   19    7   14    8    9    2    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
1547  134  223  107  264   93  161   20   12    2    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
 146   13   26   10   20    4    8    1    1    0    0    0    0    0    0 
1090  105  193   94  230   93  133   21   11    1    0    0    0    0    0 
 896  106  170   79  209   62  114   12   13    1    0    0    0    0    0 
 780  135  277  130  408   87  189   20    9    1    0    0    0    0    0 
 567   73  158   75  237   71  119   14    8    2    0    0    0    0    0 
 412   67  130   89  229   72  116    9    5    2    0    0    0    0    0 
 296   59  120   99  289   92  164   24   14    1    0    0    0    0    0 
 238   55  140   91  271   69  112    5   10    1    0    0    0    0    0 
1435  105  301  148  255   60   62   14    2    1    0    0    0    0    0 
 551   30  326  212  289  103   61   13    3    1    0    0    0    0    0 
 285   15  259  168  230   75   48    3    2    1    0    0    0    0    0 
 148   15  255  172  259  105   43    9    2    1    0    0    0    0    0 
 140   11  306  537  304  219   61   25    2    1    0    0    0    0    0 
  73   14  325  187  279  147   66    9    6    1    0    0    0    0    0 
