100 18
 0   50.55   51.75   52.37   49.07   46.53   75.49   34.36   31.30   36.60   69.31   40.41   59.45   57.54   61.10   54.29   82.12   46.28   43.17   34.77   56.85   34.71   56.08   50.48   52.72   48.02   76.35   39.69   38.33   30.36   55.78   37.20   58.54   53.59   54.41   47.86   77.32   41.74   38.56   30.79   56.98   33.93   51.91   57.85   54.75   49.41   77.44   44.08   36.57   27.76   57.47   31.80   47.84   51.39   49.43   45.72   67.57   34.27   32.33   25.96   56.20   32.77   49.04   41.09   43.56   38.13   67.06   30.09   27.10   21.54   54.94   30.59   43.74   37.77   37.19   34.01   60.98   26.74   25.03   21.26   55.40   30.14   36.92   29.89   29.41   28.18   54.87   22.51   20.16   18.97   55.59   37.06   24.92   18.18   15.52   15.91   45.45   10.79   10.16   13.65   55.96 
 1   61.39   77.96   72.16   65.11   67.19   69.85   51.06   46.35   55.60   40.47   42.13   90.98   88.72   77.35   71.56   76.40   77.89   61.11   54.58   36.36   41.62   79.95   77.29   78.61   77.63   78.74   68.96   67.64   60.15   41.64   47.26   85.61   80.09   72.73   66.65   64.43   61.57   57.82   60.02   39.63   48.42   94.58   78.67   73.80   68.81   71.56   68.45   63.12   61.43   38.77   55.39  108.83  104.36  107.09   99.77   95.92   85.04   74.36   76.03   40.76   75.71  137.59  113.43  105.86  102.07  101.95   95.62   93.36   97.22   59.75   74.40  121.91  127.59  120.67  108.29  110.70  116.43  119.20  117.46   75.44   57.09   89.49  103.18   96.94   97.78  100.53   96.02   99.32   98.48   63.44   34.94   54.18   70.14   64.98   68.05   67.72   61.06   49.36   48.34   35.04 
 2  140.54  160.69  145.27  109.91   89.45   89.05  101.44   83.78   90.93  108.15   79.75   81.19   78.66   56.98   44.07   37.36   51.42   64.79   73.71   51.40   87.47  109.86  100.15   79.94   65.12   55.00   55.44   65.72   71.92   61.93   83.55  123.75   96.04   50.72   24.08   33.52   65.64   97.89   83.80   48.46   91.40  105.56  122.33  119.52  116.00  115.48  114.84   82.94   78.04   73.23   38.57   48.11   41.18   26.96   32.90   38.25   41.51   44.16   59.44   74.91   48.75   68.71   53.83   28.32   31.92   34.86   41.65   45.20   81.76  113.95   59.99   80.94   57.34   33.46   39.23   39.72   41.09   42.19  100.61  124.93   69.05   73.25   55.59   27.91   32.87   33.41   35.68   35.87   88.23   98.92   64.91   45.05   33.27   18.35   25.94   26.35   28.33   28.41   74.01   91.81 
 3   30.36   34.11   43.12   39.54   35.07   23.45   23.86   40.88   77.05   50.39   12.21   45.15   85.28   89.66   78.81   27.39   26.21   47.76   81.95   47.25   17.65   45.31   87.18   93.23   84.63   31.80   24.09   37.48   55.37   29.54   32.90   45.27   90.01   98.80   88.78   33.23   23.66   25.65   27.82   17.37   36.70   41.41   89.78  109.37   91.31   30.21   18.92   16.76   15.22   12.72   29.51   17.00   35.38   43.37   29.38   23.85   20.18   17.47   26.04   19.96   46.68   17.67   19.80   20.97   15.59   17.11   18.46   28.51   43.61   25.88   47.77   20.97   16.50   15.61    9.70   13.19   25.49   60.92   82.00   51.21   39.05   18.74   14.96   12.78    6.75   11.41   23.63   69.80  100.18   66.38   15.74   13.22   11.10    9.58    7.76    8.32   18.76   86.62  130.19   88.40 
 4   15.89   33.26  129.33  170.91  169.32  165.64  145.89   49.78    5.22    4.62    2.45   13.29   79.92  144.67  189.01  160.25  103.65   33.05    3.70    2.31    2.35    1.67    1.45   49.55  253.99  114.40    1.60    1.21    1.89    0.87   36.91   31.94   46.43    1.64    4.41    3.31    2.18    1.60    2.69    1.31   46.63   52.72   82.54   31.48   10.00    3.02    3.19    3.29    3.37    2.80   22.28   23.64   36.15   34.43   13.85    4.96    4.75    4.99    4.73    4.45    5.25    4.64    5.02    4.47    4.68    4.45    4.70    4.43    4.57    3.86    3.37    2.10    2.21    1.72    2.06    1.78    1.98    1.48    1.85    1.26    3.11    1.83    1.98    1.46    1.63    1.56    1.64    1.32    1.73    1.32    5.51    4.67    5.51    5.05    5.10    4.62    5.01    4.92    5.26    4.45 
 5  155.38  210.04  201.35  202.68  203.30  201.88  192.64  192.21  193.13  157.03   84.60  105.74  105.97  104.70  107.43  101.35   97.53  101.26  107.64   97.71   42.48   50.02   55.23   83.69  105.10   97.69   57.67   47.17   74.74   79.63   30.65   35.10   35.60   91.95  115.75  142.13   90.21   41.09   57.15   79.09   28.04   48.65   65.75   93.99  127.85  123.15   98.28  119.13  172.36   86.14   42.83   79.95   81.28   85.46  139.95  108.51  100.65   97.86  120.70   51.63   60.17   69.84   37.23   74.26  137.74  109.15   87.28   38.81   70.90   38.75   85.31   61.88   57.59   50.50  123.20  104.36   81.61   41.34   58.40   53.01  105.05  128.38  122.20   93.14  110.05  124.33  122.47   99.20   97.99   70.40  129.35  165.32  156.35  147.57  163.51  175.84  176.43  157.29  166.22  121.96 
 6  175.95  226.32  227.56  222.48  220.19  212.28  205.41  178.36  183.19  151.20   79.69  131.25  120.84   92.93   92.62   92.84   90.70   50.18   53.99   19.21   73.68  108.91  100.40   77.92   68.30   57.15   39.35   85.01   81.22   21.31   96.74  165.20  153.79  135.12  151.20  122.65  115.93  104.16  113.72   43.71   84.36  146.38  111.33   92.94   70.85   62.13   65.19   63.97   61.76   36.17   72.64  124.60  128.05  101.74   74.04   47.28   56.98   67.71   65.28   36.60   62.15  100.26   66.36   63.28   67.24   63.11   66.07   46.59   35.33   20.51   79.15  132.62  119.66  102.44  115.28  112.18   98.65   67.43   60.14    9.71   72.48  116.37  154.89  112.96   83.26   77.03   55.47   63.88   51.25   11.99   27.66   41.37   43.32   28.04   26.15   16.90   18.09   25.48   47.68   29.15 
 7  157.10  158.35  141.06  155.57  171.92  161.00  144.39  134.53  135.43  137.41  127.28  130.02  121.98  114.73  126.90  127.24  120.93  121.14  108.42  111.59  127.06  137.21  139.17  121.62  123.78  126.43  126.62  121.18  107.07  106.82  130.58  142.14  143.31  129.09  134.04  134.43  131.48  123.66  106.03  110.45  134.85  145.07  148.52  136.72  146.62  140.51  131.65  123.57  109.55  116.69  130.70  139.34  140.95  136.53  141.55  135.17  124.27  121.83  109.21  117.97  125.61  134.70  131.16  128.23  130.49  124.37  120.92  118.28  106.31  111.36  121.19  125.59  127.00  121.23  121.81  117.40  114.44  116.50  105.59  106.77  123.70  118.64  119.36  115.72  118.96  111.70  107.75  108.83  109.43  117.54  144.57  134.20  114.17  119.58  123.19  125.25  115.97  111.70  119.25  139.29 
 8   47.17   84.09   87.62   76.05  107.39  100.66   60.74   36.22   32.88   12.81   32.91  115.42  138.53  134.10  124.52  115.82  113.84  105.58   76.91   19.00   34.32  106.38  133.06  127.87  108.52  112.09  113.69  119.52   84.34   18.56   28.40   98.17  123.88  126.55  103.18  108.40  106.71  114.14   81.12   17.18   30.51  113.18  101.03  117.13  109.17   92.26   77.86   82.90   45.35    7.99   30.94  102.79   76.45   94.08  101.47   87.83   70.23   73.88   50.43   10.94   32.87  114.94   80.17   89.65   87.03   62.61   61.17   56.26   47.65   14.94   27.13   92.32   62.74   68.62   66.30   53.95   59.74   66.29   53.86   20.51   28.49   74.39   69.13   60.36   59.09   56.10   60.25   69.25   59.51   20.06   15.52   40.71   39.38   32.95   35.57   22.01   19.05   28.06   23.51   13.08 
 9   97.15   25.50   17.06   13.71   11.92   17.49   12.26   11.59   79.83   21.06   79.23   19.41   14.03   11.87   10.52   14.06    8.55   11.08   73.85   15.58   74.87   16.03   14.19   13.64   13.62   17.90   11.77   12.77   75.62   15.04   73.89   17.73   15.45   13.66   11.95   17.44   14.01   12.78   77.55   15.11   74.36   18.69   14.92   13.48   12.61   17.11   15.43   11.24   77.25   14.43   71.96   15.71   13.47   12.58   12.33   16.80   15.81   11.22   78.87   26.79   74.09   14.19   16.66   12.50   12.33   16.51   15.14   11.57   77.83   30.30   77.65   14.40   15.40   15.60   18.25   21.90   18.45   13.34   76.66   28.81   77.55   16.51   13.35    9.96   10.67   15.11   10.85   13.63   77.78   32.11   95.17   24.89   16.48   11.82   12.05   18.38   14.12   14.56   83.12   34.18 
