1000
132039
   0 1421 1343 1216  451 1031  253  137  179  147 
1071   33   91   62   42  253   52   44   61   36 
 506   24   30   10   22   95   18   12   31   14 
 229   13   20    8   14   86   14   10    2    6 
 115    4   10    2   18   37    3   12    5    2 
 278    3    0    6    2    7   11    1    3    0 
 101    1   11    8    1   19    2    4    3    0 
  55    1    2    1    2   18    1    3   10    3 
  51    3    1    0    1    9    0    1    7    1 
  28    6    0    0    0    2    0    0    0    0 
 203    0    0    1    1    1    0    0    0    0 
  18    0    1    3    1   11    1    0    1    0 
  27    1    0    0    0    7    0    0    1    0 
  21    0    2    0    0    1    0    0    0    0 
  10    1    0    0    0    4    0    2    4    0 
  57    2    0    0    2    2    0    0    0    0 
  17    0    0    0    0    1    0    0    4    0 
   8    0    0    2    0    0    0    1    0    0 
  12    0    0    0    0    4    0    0    0    0 
  14    0    2    0    0    0    0    0    0    0 
  60    0    0    0    0    0    0    0    0    0 
   5    0    0    0    0    0    0    0    2    0 
   1    0    0    0    0    0    3    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   8    0    0    0    0    4    0    0    0    4 
  19    0    0    0    0    1    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   7    0    0    0    0    0    0    0    0    0 
   3    0    0    0    0    0    0    0    0    0 
  30    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    1    0    0    0 
   7    0    0    0    0    1    0    0    0    0 
   0    0    0    0    0    2    0    0    0    0 
   0    0    0    0    0    0    0    1    0    0 
   0    0    0    0    0    0    0    0    0    0 
  13    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   3    0    0    0    0    0    0    0    0    0 
   7    0    0    0    0    0    0    0    0    0 
   5    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    6    0    0    0    0 
  38    0    0    0    0    0    0    0    0    0 
   0    0    1    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    5    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    2    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   1    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   8    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   3    0    0    0    0    0    0    0    0    0 
   2    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   6    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   0    0    0    0    0    0    0    0    0    0 
   6    0    0    0    0    0    0    0    0    0 
