1000
183792
   0 1067 1308 1181  874 1723  832  488  793  774 
2725  369  698  310  415  912  315  224  482  181 
1702  218  249  171  348  557  201  218  290  122 
1331  118  167  254  109  391  216   87  148   98 
 834   68  137   75   80  297   95   47  167   45 
1498   59   88   62   92  201   79   71   69   38 
 631   25   42   70   70  171   57   27   76   36 
 381   19   96   34   38  173   61   45   60   26 
 508   41   35   35   53  108   35   25   61   16 
 301   25   25   26   19  136   49   16   57   53 
1561   10   27   15   26   88   18    8   35    6 
 152   22   41   11   43   50   18   26   22   15 
 360   11   13   12   11   62   28   10   30   13 
 190    9   26   32   14   56   15   10   37   10 
 170    9    9   10   60   33   11   10   10    4 
 493    5   23   20    8   28   15    4    9    5 
 156    5   12    6    6   35    7    3   32    5 
 104   25   14    6    8   29   10    6   10    6 
 174    1   12   13    4   28    7    6    8    9 
  67    5   13   10    3   27    7    1   14   10 
 717    8    2    5    3   12    4    5   13    2 
  67    2    5    5    5   10   20    5    9    4 
  74    2    7    3    5   21    4    3    5    2 
  48    4    4   10    8   10    7    4    5    1 
  73    1    4    3    0    7    4    0    3    3 
 177    5    6    4    4   17    7    3    5    1 
  43    2    1    4    6    3    2    4    2    4 
  47    2    1    1    1   12    6    2    0    3 
  63    3    1    2    2    9    4    2    3    1 
  36    1    2    2    1    8    9    2    0    2 
 637    3    1    3    6    4    5    1    8    6 
  39    1   10    0    0   13    3    4    3    4 
  46    1    3    2    3   11    4    3    4    1 
  42    1    3    1    0    8    4    2    2    2 
  40    0    2    3    1   12    1    0   29    1 
 122    4    4    1    4    8    3    5    2    2 
  56    0    2    2    2    6    0    3    3    5 
  25    2    2    0    3    9    1    1    5    2 
  48    1    2    4    1    7    2    0    3    2 
  35    0    3    3    1    6    2    0    3    4 
 318    2    2    2    1    4    0    0    3    4 
  21    1    3    0    2    2    0    2    3    0 
  28    0    0    1    2    4    2    0    0    2 
  23    1    3    2    0    5    2    0    6    0 
  15    0    0    0    0    2    0    3    2    0 
  67    1    0    1    0    2    2    2    0    1 
  15    0    2    3    1    6    2    1    7    0 
  16    0    2    1    2    5    2    2    1    1 
  42    0    1    1    1    3    0    1    3    0 
  23    1    1    1    0    6    2    3    2    0 
 607    1    0    0    3    1    0    1    1    1 
  12    2    1    1    0    0    1    0    1    0 
  22    0    0    0    1    9    0    1    0    0 
  12    0    0    0    3    3    0    0    1    1 
  19    0    1    1    1    2    3    1    1    2 
  51    0    3    0    1    2    3    0    3    0 
  20    4    0    1    2    1    1    1    1    0 
   9    1    1    0    0    2    2    2    0    0 
  15    0    0    0    2    6    2    0    3    1 
  16    0    0    0    2    4    0    1    0    1 
 221    0    0    1    1    1    0    0    2    0 
   8    0    1    2    2    3    1    1    0    1 
  15    0    1    0    2    4    0    1    0    0 
   6    1    2    1    1    2    2    0    1    0 
   7    1    1    0    1    3    0    1    1    1 
  32    0    0    0    0    2    0    0    1    0 
  11    0    1    1    0    2    2    0    4    0 
   6    0    0    0    1    0    0    1    2    1 
