   0    2    6    2    2    6    3    1    5    3    6    6    2    3    5    5    2    4    3    5   63   43   58   86   61   51   34  116    0    0    0 4777  225    0 1486 1679    0 6704 2499  245 
1046    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 2845  367   75    2    1    0    1    0    0    1   23    4 
1112    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 1263  130   89    2    1    0    1    0    0    1   23    3 
1102    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  721   71   79    3    1    0    1    0    0    1   25    4 
1142    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  388   39   79    1    1    0    1    0    0    5   22    3 
1733    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  442   42  195    1    1    0    1    0    0    3   40   10 
1045    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  280   16   97    3    1    0    1    0    0    1   25    3 
1047    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  212    9   78    3    1    0    1    0    0    1   20    7 
1149    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  158    4  154    3    1    0    1    0    0    1   26    6 
1057    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  145    7  136    3    1    0    1    0    0    1   23    2 
 758    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   10   24    1    1    0    0    0    0    1    2    1 
 233    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5    5    9    1    1    0    0    0    0    1    3    2 
